URL,File Name
https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Bevoelkerung/Migration-Integration/Publikationen/Downloads-Migration/statistischer-bericht-einbuergerungen-2010210227005.xlsx?__blob=publicationFile,statistischer-bericht-einbuergerungen-2010210227005.xlsx
https://www.destatis.de/DE/Themen/Branchen-Unternehmen/Landwirtschaft-Forstwirtschaft-Fischerei/Landwirtschaftliche-Betriebe/Publikationen/Downloads-Landwirtschaftliche-Betriebe/statistischer-bericht-arbeitskraefte-2030218239005.xlsx?__blob=publicationFile,statistischer-bericht-arbeitskraefte-2030218239005.xlsx
https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Bevoelkerung/Eheschliessungen-Ehescheidungen-Lebenspartnerschaften/Publikationen/Downloads-Eheschliessungen/statistischer-bericht-ehescheidungen-eheschliessungen-geborene-gestorbene-zeitreihen-5126107.xlsx?__blob=publicationFile,statistischer-bericht-ehescheidungen-eheschliessungen-geborene-gestorbene-zeitreihen-5126107.xlsx
https://www.destatis.de/DE/Themen/Branchen-Unternehmen/Gastgewerbe-Tourismus/Publikationen/Downloads-Tourismus/statistischer-bericht-monatserhebung-tourismus-2060710241065.xlsx?__blob=publicationFile,statistischer-bericht-monatserhebung-tourismus-2060710241065.xlsx
https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Verkehrsunfaelle/Publikationen/Downloads-Verkehrsunfaelle/statistischer-bericht-verkehrsunfaelle-zeitreihen-5462403.xlsx?__blob=publicationFile,statistischer-bericht-verkehrsunfaelle-zeitreihen-5462403.xlsx
https://www.destatis.de/DE/Themen/Branchen-Unternehmen/Landwirtschaft-Forstwirtschaft-Fischerei/Landwirtschaftliche-Betriebe/Publikationen/Downloads-Landwirtschaftliche-Betriebe/statistischer-bericht-eigentums-pachtverhaeltnisse-2030216239005.xlsx?__blob=publicationFile,statistischer-bericht-eigentums-pachtverhaeltnisse-2030216239005.xlsx
https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Umwelt/UGR/energiefluesse-emissionen/Publikationen/Downloads/anthropogene-luftemissionen-5851103207005.xlsx?__blob=publicationFile,anthropogene-luftemissionen-5851103207005.xlsx
https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Bevoelkerung/Bevoelkerungsstand/Publikationen/Downloads-Bevoelkerungsstand/statistischer-bericht-bevoelkerungsfortschreibung-zensus-2011-5124106.xlsx?__blob=publicationFile,statistischer-bericht-bevoelkerungsfortschreibung-zensus-2011-5124106.xlsx
https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Krankenhaeuser/Publikationen/Downloads-Krankenhaeuser/statistischer-bericht-operationen-prozeduren-5231401237015.xlsx?__blob=publicationFile,statistischer-bericht-operationen-prozeduren-5231401237015.xlsx
https://www.destatis.de/DE/Themen/Wirtschaft/Preise/Verbraucherpreisindex/Publikationen/Downloads-Verbraucherpreise/statistischer-bericht-verbraucherpreisindex-lange-reihen-5611103241055.xlsx?__blob=publicationFile,statistischer-bericht-verbraucherpreisindex-lange-reihen-5611103241055.xlsx
https://www.destatis.de/DE/Themen/Wirtschaft/Aussenhandel/Publikationen/Downloads-Aussenhandel/statistischer-bericht-aussenhandel-2070100241045.xlsx?__blob=publicationFile,statistischer-bericht-aussenhandel-2070100241045.xlsx
