file,sheet,python_original_bytes,python_cleaned_bytes,python_reduction_bytes,input_file,sheet_file,long_original_bytes,long_cleaned_bytes,long_cause_removed_bytes,long_cause_added_bytes,long_reduction_bytes,_merge,reduction_delta_bytes,analyzer_extra_reduction_bytes,rust_extra_reduction_bytes,abs_reduction_delta_bytes,original_delta_bytes,cleaned_delta_bytes,same_reduction_bytes
statistischer-bericht-luftverkehr-2080620207005.xlsx,46421-06,343308,15265,328043,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\statistischer-bericht-luftverkehr-2080620207005.xlsx,xl/worksheets/sheet11.xml,343326,15185,328141,0,328141,both,98,-98,98,98,18,-80,False
statistischer-bericht-personengesellschaften-gemeinschaften-5731101187005.xlsx,73121-04,21159,19675,1484,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\statistischer-bericht-personengesellschaften-gemeinschaften-5731101187005.xlsx,xl/worksheets/sheet9.xml,21177,19595,1942,0,1582,both,98,-98,98,98,18,-80,False
statistischer-bericht-personengesellschaften-gemeinschaften-5731101187005.xlsx,73121-05,12446,11041,1405,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\statistischer-bericht-personengesellschaften-gemeinschaften-5731101187005.xlsx,xl/worksheets/sheet10.xml,12464,10961,1503,0,1503,both,98,-98,98,98,18,-80,False
statistischer-bericht-ugr-ueberblick-5850026239005.xlsx,85531-29,42372,38164,4208,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\statistischer-bericht-ugr-ueberblick-5850026239005.xlsx,xl/worksheets/sheet34.xml,42390,38084,4326,0,4306,both,98,-98,98,98,18,-80,False
statistischer-bericht-ugr-ueberblick-5850026249005.xlsx,85531-29,42393,38185,4208,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\statistischer-bericht-ugr-ueberblick-5850026249005.xlsx,xl/worksheets/sheet34.xml,42393,38087,4326,0,4306,both,98,-98,98,98,0,-98,False
statistischer-bericht-verkehrsunfaelle-zeitreihen-5462403.xlsx,46241-14,349326,20637,328689,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\statistischer-bericht-verkehrsunfaelle-zeitreihen-5462403.xlsx,xl/worksheets/sheet19.xml,349326,20539,328825,0,328787,both,98,-98,98,98,0,-98,False
statistischer-bericht-verkehrsunfaelle-zeitreihen-5462403.xlsx,46241-15,348424,19808,328616,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\statistischer-bericht-verkehrsunfaelle-zeitreihen-5462403.xlsx,xl/worksheets/sheet20.xml,348424,19710,328752,0,328714,both,98,-98,98,98,0,-98,False
statistischer-bericht-verkehrsunfaelle-zeitreihen-5462403.xlsx,46241-16,348839,20223,328616,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\statistischer-bericht-verkehrsunfaelle-zeitreihen-5462403.xlsx,xl/worksheets/sheet21.xml,348839,20125,328752,0,328714,both,98,-98,98,98,0,-98,False
statistischer-bericht-verkehrsunfaelle-zeitreihen-5462403.xlsx,46241-17,349241,20625,328616,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\statistischer-bericht-verkehrsunfaelle-zeitreihen-5462403.xlsx,xl/worksheets/sheet22.xml,349241,20527,328752,0,328714,both,98,-98,98,98,0,-98,False
statistischer-bericht-verkehrsunfaelle-zeitreihen-5462403.xlsx,46241-18,348275,19007,329268,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\statistischer-bericht-verkehrsunfaelle-zeitreihen-5462403.xlsx,xl/worksheets/sheet23.xml,348275,18909,329404,0,329366,both,98,-98,98,98,0,-98,False
statistischer-bericht-verkehrsunfaelle-zeitreihen-5462403.xlsx,46241-19,363642,18539,345103,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\statistischer-bericht-verkehrsunfaelle-zeitreihen-5462403.xlsx,xl/worksheets/sheet24.xml,363642,18441,345239,0,345201,both,98,-98,98,98,0,-98,False
statistischer-bericht-verkehrsunfaelle-zeitreihen-5462403.xlsx,46241-20,357189,18721,338468,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\statistischer-bericht-verkehrsunfaelle-zeitreihen-5462403.xlsx,xl/worksheets/sheet25.xml,357189,18623,338604,0,338566,both,98,-98,98,98,0,-98,False
statistischer-bericht-verkehrsunfaelle-zeitreihen-5462403.xlsx,46241-21,357079,19047,338032,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\statistischer-bericht-verkehrsunfaelle-zeitreihen-5462403.xlsx,xl/worksheets/sheet26.xml,357079,18949,338168,0,338130,both,98,-98,98,98,0,-98,False
statistischer-bericht-zivilgerichte-2100210237005.xlsx,Erlauterung_zu_CSV-Tabellen,27250,10822,16428,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\statistischer-bericht-zivilgerichte-2100210237005.xlsx,xl/worksheets/sheet31.xml,27250,10724,17374,0,16526,both,98,-98,98,98,0,-98,False
unfaelle-gewalt-kinder-tabellenband-xlsx-5230001.xlsx,Tab15.1.1,44076,38851,5225,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\unfaelle-gewalt-kinder-tabellenband-xlsx-5230001.xlsx,xl/worksheets/sheet44.xml,44094,38771,5238,0,5323,both,98,-98,98,98,18,-80,False
wasser-abwasser-nichtoeffentlich-2190220199005.xlsx,Tabelle5.3,41471,38562,2909,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\wasser-abwasser-nichtoeffentlich-2190220199005.xlsx,xl/worksheets/sheet22.xml,41489,38482,3019,0,3007,both,98,-98,98,98,18,-80,False
weiterbildung-unternehmen-5215201209005.xlsx,13.2,10431,9444,987,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\weiterbildung-unternehmen-5215201209005.xlsx,xl/worksheets/sheet70.xml,10449,9364,1188,0,1085,both,98,-98,98,98,18,-80,False
zusammenfassende-uebersichten-jahr-vorlaeufig-xlsx-2070100.xlsx,Tab 2.3,8307,7595,712,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\zusammenfassende-uebersichten-jahr-vorlaeufig-xlsx-2070100.xlsx,xl/worksheets/sheet46.xml,8325,7515,810,0,810,both,98,-98,98,98,18,-80,False
baufertigstellungen-baustoff-xlsx-5311202.xlsx,1.1.1,35431,30331,5100,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\baufertigstellungen-baustoff-xlsx-5311202.xlsx,xl/worksheets/sheet4.xml,35449,30250,5554,0,5199,both,99,-99,99,99,18,-81,False
baufertigstellungen-baustoff-xlsx-5311202.xlsx,2.2.1,36502,31375,5127,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\baufertigstellungen-baustoff-xlsx-5311202.xlsx,xl/worksheets/sheet12.xml,36520,31294,5601,0,5226,both,99,-99,99,99,18,-81,False
bevoelkerungsbewegung-2010110157005.xlsx,3.6,78961,29346,49615,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\bevoelkerungsbewegung-2010110157005.xlsx,xl/worksheets/sheet60.xml,78979,29265,49679,0,49714,both,99,-99,99,99,18,-81,False
bodennutzung-erzeugung-2030300147005.xlsx,Noch_12_4_2,18463,15444,3019,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\bodennutzung-erzeugung-2030300147005.xlsx,xl/worksheets/sheet104.xml,18481,15363,3083,0,3118,both,99,-99,99,99,18,-81,False
fortschreibung-wohnungsbestand-xlsx-5312301.xlsx,Erläut-Abgang,4916,4777,139,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\fortschreibung-wohnungsbestand-xlsx-5312301.xlsx,xl/worksheets/sheet3.xml,4934,4696,238,0,238,both,99,-99,99,99,18,-81,False
geburtentrends-tabellenband-5122203189015.xlsx,Tabelle_3.13_(4_4),13697,12511,1186,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\geburtentrends-tabellenband-5122203189015.xlsx,xl/worksheets/sheet43.xml,13715,12430,1282,0,1285,both,99,-99,99,99,18,-81,False
koerperschaftsteuerstatistik-jahr-5799701127005.xlsx,3.5,59638,21307,38331,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\koerperschaftsteuerstatistik-jahr-5799701127005.xlsx,xl/worksheets/sheet19.xml,59656,21226,42622,0,38430,both,99,-99,99,99,18,-81,False
koerperschaftsteuerstatistik-jahr-5799701127005.xlsx,Qualitätsbericht,3969,3427,542,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\koerperschaftsteuerstatistik-jahr-5799701127005.xlsx,xl/worksheets/sheet26.xml,3987,3346,611,0,641,both,99,-99,99,99,18,-81,False
lebenslagen-behinderter-menschen-5122123199005.xlsx,Veröffentlichungen,6593,5794,799,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\lebenslagen-behinderter-menschen-5122123199005.xlsx,xl/worksheets/sheet3.xml,6611,5713,1050,0,898,both,99,-99,99,99,18,-81,False
personal-oeffentlicher-dienst-2140600217005.xlsx,Qualitätsbericht,11459,2499,8960,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\personal-oeffentlicher-dienst-2140600217005.xlsx,xl/worksheets/sheet97.xml,11477,2418,9071,0,9059,both,99,-99,99,99,18,-81,False
statistischer-bericht-mikrozensus-arbeitsmarkt-2010410237005-erstergebnisse.xlsx,12211-07,365085,29442,335643,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\statistischer-bericht-mikrozensus-arbeitsmarkt-2010410237005-erstergebnisse.xlsx,xl/worksheets/sheet12.xml,365103,29361,335742,0,335742,both,99,-99,99,99,18,-81,False
statistischer-bericht-umsatzsteuer-2140810217005.xlsx,73311-01,345642,15539,330103,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\statistischer-bericht-umsatzsteuer-2140810217005.xlsx,xl/worksheets/sheet6.xml,345660,15458,330261,0,330202,both,99,-99,99,99,18,-81,False
statistischer-bericht-umsatzsteuer-2140810227005.xlsx,73311-02,345967,15864,330103,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\statistischer-bericht-umsatzsteuer-2140810227005.xlsx,xl/worksheets/sheet7.xml,345985,15783,330261,0,330202,both,99,-99,99,99,18,-81,False
tarifbindung-5622103189005.xlsx,Tabelle2.1.1,24717,10808,13909,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\tarifbindung-5622103189005.xlsx,xl/worksheets/sheet11.xml,24735,10727,23089,0,14008,both,99,-99,99,99,18,-81,False
tarifbindung-5622103189005.xlsx,Tabelle2.1.2,24562,10652,13910,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\tarifbindung-5622103189005.xlsx,xl/worksheets/sheet12.xml,24580,10571,23090,0,14009,both,99,-99,99,99,18,-81,False
tarifbindung-5622103189005.xlsx,Tabelle2.1.3,24515,10605,13910,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\tarifbindung-5622103189005.xlsx,xl/worksheets/sheet13.xml,24533,10524,23090,0,14009,both,99,-99,99,99,18,-81,False
wochenberichte-bevoelkerung-xlsx.xlsx,BEV3,23902,22096,1806,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\wochenberichte-bevoelkerung-xlsx.xlsx,xl/worksheets/sheet5.xml,23890,21985,1900,0,1905,both,99,-99,99,99,-12,-111,False
wochenberichte-gesamtpaket-xlsx.xlsx,BEV3,24081,22254,1827,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\wochenberichte-gesamtpaket-xlsx.xlsx,xl/worksheets/sheet9.xml,24069,22143,1921,0,1926,both,99,-99,99,99,-12,-111,False
zusammenfassende-uebersichten-jahr-endgueltig-2070100207005.xlsx,Tab 2.3,8160,7447,713,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\zusammenfassende-uebersichten-jahr-endgueltig-2070100207005.xlsx,xl/worksheets/sheet46.xml,8178,7366,812,0,812,both,99,-99,99,99,18,-81,False
arbeitskraefte-2032802109005.xlsx,Anhangtabelle 4,32187,24816,7371,R:\excel-shrink-paper\scripts\scrape_destatis_xlsx_files\downloaded\arbeitskraefte-2032802109005.xlsx,xl/worksheets/sheet29.xml,32205,24734,7726,0,7471,both,100,-100,100,100,18,-82,False
