File,Sheet,Total Rows,Removed Rows,Total Cells,Removed Cells,Removed Whitespaces,Total Columns,Removed Columns,Original Size,Cleaned Size,Size Reduction Factor
C:/Temp/excelshrinktest/downloaded\1951.xlsx,1951,320,1,4060,126,0,13,0,163172,160600,0.015762508273478294
C:/Temp/excelshrinktest/downloaded\1951.xlsx,Deckblatt,48,38,422,406,0,2,0,12624,2518,0.8005386565272496
C:/Temp/excelshrinktest/downloaded\1952.xlsx,Erläuterungen,0,0,0,0,0,0,0,1048,1030,0.01717557251908397
C:/Temp/excelshrinktest/downloaded\1952.xlsx,1952,11232,1,145922,20,0,13,0,6149867,6149319,8.91076180997085e-05
C:/Temp/excelshrinktest/downloaded\1952.xlsx,Deckblatt,48,38,422,406,0,2,0,12624,2518,0.8005386565272496
C:/Temp/excelshrinktest/downloaded\1953.xlsx,Erläuterungen,0,0,0,0,0,0,0,1048,1030,0.01717557251908397
C:/Temp/excelshrinktest/downloaded\1953.xlsx,1953,14264,1,185439,121,0,13,0,8005343,8002708,0.0003291551654938458
C:/Temp/excelshrinktest/downloaded\1953.xlsx,Deckblatt,48,38,422,406,0,2,0,12624,2518,0.8005386565272496
C:/Temp/excelshrinktest/downloaded\1954.xlsx,Erläuterungen,0,0,0,0,0,0,0,1048,1030,0.01717557251908397
C:/Temp/excelshrinktest/downloaded\1954.xlsx,1954,244,1,3179,121,0,12,0,125056,122665,0.01911943449334698
C:/Temp/excelshrinktest/downloaded\1954.xlsx,Deckblatt,48,38,422,406,0,2,0,12623,2517,0.8006020755763289
C:/Temp/excelshrinktest/downloaded\1955.xlsx,Erläuterungen,0,0,0,0,0,0,0,1048,1030,0.01717557251908397
C:/Temp/excelshrinktest/downloaded\1955.xlsx,1955,181,1,2360,121,0,12,0,92324,89933,0.025897924699969672
C:/Temp/excelshrinktest/downloaded\1955.xlsx,Deckblatt,48,38,422,406,0,2,0,12621,2515,0.8007289438237858
C:/Temp/excelshrinktest/downloaded\1956.xlsx,1956 26.09.-31.12.,469,1,5715,843,0,12,0,235124,218307,0.07152396182439905
C:/Temp/excelshrinktest/downloaded\1956.xlsx,1956 01.01.-25.09.,156,1,2035,121,0,12,0,79146,76755,0.030209991660980973
C:/Temp/excelshrinktest/downloaded\1956.xlsx,1956,608,1,7469,871,0,12,0,306838,289455,0.056652044401280154
C:/Temp/excelshrinktest/downloaded\1956.xlsx,Deckblatt,48,38,422,406,0,2,0,12622,2516,0.800665504674378
C:/Temp/excelshrinktest/downloaded\1956.xlsx,Erläuterungen,0,0,0,0,0,0,0,1048,1030,0.01717557251908397
C:/Temp/excelshrinktest/downloaded\1957.xlsx,Erläuterungen,0,0,0,0,0,0,0,1048,1030,0.01717557251908397
C:/Temp/excelshrinktest/downloaded\1957.xlsx,1957,216,1,2815,121,0,12,0,110589,108198,0.02162059517673548
C:/Temp/excelshrinktest/downloaded\1957.xlsx,Deckblatt,48,38,422,406,0,2,0,12621,2515,0.8007289438237858
C:/Temp/excelshrinktest/downloaded\1958.xlsx,Erläuterungen,0,0,0,0,0,0,0,1048,1030,0.01717557251908397
C:/Temp/excelshrinktest/downloaded\1958.xlsx,1958,174,1,2269,121,0,12,0,88925,86534,0.026887826820354233
C:/Temp/excelshrinktest/downloaded\1958.xlsx,Deckblatt,48,38,422,406,0,2,0,12621,2515,0.8007289438237858
